,headline,url,img_src,tag,topic
0,ข่าวปลอม อย่าแชร์! เพจ Facebook เชิญชวนลงทุนให้ผลตอบแทนสูง ควบคุม/รับรองโดยสำนักงาน ก.ล.ต.,https://www.antifakenewscenter.com/news/activity/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1-%e0%b8%ad%e0%b8%a2%e0%b9%88%e0%b8%b2%e0%b9%81%e0%b8%8a%e0%b8%a3%e0%b9%8c-%e0%b9%80%e0%b8%9e%e0%b8%88-facebook-%e0%b9%80%e0%b8%8a%e0%b8%b4%e0%b8%8d%e0%b8%8a%e0%b8%a7%e0%b8%99%e0%b8%a5%e0%b8%87%e0%b8%97%e0%b8%b8%e0%b8%99%e0%b9%83%e0%b8%ab%e0%b9%89%e0%b8%9c%e0%b8%a5%e0%b8%95%e0%b8%ad%e0%b8%9a%e0%b9%81%e0%b8%97%e0%b8%99%e0%b8%aa%e0%b8%b9%e0%b8%87-%e0%b8%84%e0%b8%a7%e0%b8%9a%e0%b8%84%e0%b8%b8%e0%b8%a1-%e0%b8%a3%e0%b8%b1%e0%b8%9a%e0%b8%a3%e0%b8%ad%e0%b8%87%e0%b9%82%e0%b8%94%e0%b8%a2%e0%b8%aa%e0%b8%b3%e0%b8%99%e0%b8%b1%e0%b8%81%e0%b8%87%e0%b8%b2%e0%b8%99-%e0%b8%81-%e0%b8%a5-%e0%b8%95,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website-38.jpg,   ข่าวปลอม,การเงิน-หุ้น
1,ข่าวปลอม อย่าแชร์! การขึ้นเงินรางวัลสลากดิจิทัล ต้องใช้สลากจริงเท่านั้น,https://www.antifakenewscenter.com/news/activity/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1-%e0%b8%ad%e0%b8%a2%e0%b9%88%e0%b8%b2%e0%b9%81%e0%b8%8a%e0%b8%a3%e0%b9%8c-%e0%b8%81%e0%b8%b2%e0%b8%a3%e0%b8%82%e0%b8%b6%e0%b9%89%e0%b8%99%e0%b9%80%e0%b8%87%e0%b8%b4%e0%b8%99%e0%b8%a3%e0%b8%b2%e0%b8%87%e0%b8%a7%e0%b8%b1%e0%b8%a5%e0%b8%aa%e0%b8%a5%e0%b8%b2%e0%b8%81%e0%b8%94%e0%b8%b4%e0%b8%88%e0%b8%b4%e0%b8%97%e0%b8%b1%e0%b8%a5-%e0%b8%95%e0%b9%89%e0%b8%ad%e0%b8%87%e0%b9%83%e0%b8%8a%e0%b9%89%e0%b8%aa%e0%b8%a5%e0%b8%b2%e0%b8%81%e0%b8%88%e0%b8%a3%e0%b8%b4%e0%b8%87%e0%b9%80%e0%b8%97%e0%b9%88%e0%b8%b2%e0%b8%99%e0%b8%b1%e0%b9%89%e0%b8%99,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website-37.jpg,   ข่าวปลอม,นโยบายรัฐบาล-ข่าวสาร
2,ไทยเพิ่มโรคฝีดาษลิง เป็นโรคติดต่อเฝ้าระวังลำดับที่ 56 จริงหรือ?,https://www.antifakenewscenter.com/news/activity/%e0%b9%84%e0%b8%97%e0%b8%a2%e0%b9%80%e0%b8%9e%e0%b8%b4%e0%b9%88%e0%b8%a1%e0%b9%82%e0%b8%a3%e0%b8%84%e0%b8%9d%e0%b8%b5%e0%b8%94%e0%b8%b2%e0%b8%a9%e0%b8%a5%e0%b8%b4%e0%b8%87-%e0%b9%80%e0%b8%9b%e0%b9%87%e0%b8%99%e0%b9%82%e0%b8%a3%e0%b8%84%e0%b8%95%e0%b8%b4%e0%b8%94%e0%b8%95%e0%b9%88%e0%b8%ad%e0%b9%80%e0%b8%9d%e0%b9%89%e0%b8%b2%e0%b8%a3%e0%b8%b0%e0%b8%a7%e0%b8%b1%e0%b8%87%e0%b8%a5%e0%b8%b3%e0%b8%94%e0%b8%b1%e0%b8%9a%e0%b8%97%e0%b8%b5%e0%b9%88-56-%e0%b8%88%e0%b8%a3%e0%b8%b4%e0%b8%87%e0%b8%ab%e0%b8%a3%e0%b8%b7%e0%b8%ad,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website_-44.jpg,   ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร
3,ข่าวปลอม อย่าแชร์! ธปท. ส่งเอกสารแจ้งผู้ขอกู้เงิน เรื่องบัญชีถูกระงับ และให้โอนเงินมัดจำเพื่อพิสูจน์การหมุนเวียนเงิน,https://www.antifakenewscenter.com/news/activity/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1-%e0%b8%ad%e0%b8%a2%e0%b9%88%e0%b8%b2%e0%b9%81%e0%b8%8a%e0%b8%a3%e0%b9%8c-%e0%b8%98%e0%b8%9b%e0%b8%97-%e0%b8%aa%e0%b9%88-3,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website_-43.jpg,   ข่าวปลอม,การเงิน-หุ้น
4,ข่าวปลอม อย่าแชร์! ผลิตภัณฑ์ Lutiana VIS ช่วยบำรุงสายตา และฟื้นฟูการมองเห็น,https://www.antifakenewscenter.com/news/activity/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1-%e0%b8%ad%e0%b8%a2%e0%b9%88%e0%b8%b2%e0%b9%81%e0%b8%8a%e0%b8%a3%e0%b9%8c-%e0%b8%9c%e0%b8%a5%e0%b8%b4%e0%b8%95%e0%b8%a0%e0%b8%b1%e0%b8%93%e0%b8%91%e0%b9%8c-lutiana-vis-%e0%b8%8a%e0%b9%88%e0%b8%a7%e0%b8%a2%e0%b8%9a%e0%b8%b3%e0%b8%a3%e0%b8%b8%e0%b8%87%e0%b8%aa%e0%b8%b2%e0%b8%a2%e0%b8%95%e0%b8%b2-%e0%b9%81%e0%b8%a5%e0%b8%b0%e0%b8%9f%e0%b8%b7%e0%b9%89%e0%b8%99%e0%b8%9f%e0%b8%b9%e0%b8%81%e0%b8%b2%e0%b8%a3%e0%b8%a1%e0%b8%ad%e0%b8%87%e0%b9%80%e0%b8%ab%e0%b9%87%e0%b8%99,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website_-45.jpg,   ข่าวปลอม,ผลิตภัณฑ์สุขภาพ
5,จีนอนุมัติให้นักศึกษาไทยกลับไปเรียนได้แล้ว จริงหรือ?,https://www.antifakenewscenter.com/news/activity/%e0%b8%88%e0%b8%b5%e0%b8%99%e0%b8%ad%e0%b8%99%e0%b8%b8%e0%b8%a1%e0%b8%b1%e0%b8%95%e0%b8%b4%e0%b9%83%e0%b8%ab%e0%b9%89%e0%b8%99%e0%b8%b1%e0%b8%81%e0%b8%a8%e0%b8%b6%e0%b8%81%e0%b8%a9%e0%b8%b2%e0%b9%84%e0%b8%97%e0%b8%a2%e0%b8%81%e0%b8%a5%e0%b8%b1%e0%b8%9a%e0%b9%84%e0%b8%9b%e0%b9%80%e0%b8%a3%e0%b8%b5%e0%b8%a2%e0%b8%99%e0%b9%84%e0%b8%94%e0%b9%89%e0%b9%81%e0%b8%a5%e0%b9%89%e0%b8%a7-%e0%b8%88%e0%b8%a3%e0%b8%b4%e0%b8%87%e0%b8%ab%e0%b8%a3%e0%b8%b7%e0%b8%ad,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website_-42.jpg,   ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร
6,ข่าวปลอม อย่าแชร์! ผลิตภัณฑ์มณีนพคุณและอัคคีเดชารักษามะเร็ง,https://www.antifakenewscenter.com/news/activity/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1-%e0%b8%ad%e0%b8%a2%e0%b9%88%e0%b8%b2%e0%b9%81%e0%b8%8a%e0%b8%a3%e0%b9%8c-%e0%b8%9c%e0%b8%a5%e0%b8%b4%e0%b8%95%e0%b8%a0%e0%b8%b1%e0%b8%93%e0%b8%91%e0%b9%8c%e0%b8%a1%e0%b8%93%e0%b8%b5%e0%b8%99%e0%b8%9e%e0%b8%84%e0%b8%b8%e0%b8%93%e0%b9%81%e0%b8%a5%e0%b8%b0%e0%b8%ad%e0%b8%b1%e0%b8%84%e0%b8%84%e0%b8%b5%e0%b9%80%e0%b8%94%e0%b8%8a%e0%b8%b2%e0%b8%a3%e0%b8%b1%e0%b8%81%e0%b8%a9%e0%b8%b2%e0%b8%a1%e0%b8%b0%e0%b9%80%e0%b8%a3%e0%b9%87%e0%b8%87,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website_-40.jpg,   ข่าวปลอม,ผลิตภัณฑ์สุขภาพ
7,ข่าวปลอม อย่าแชร์! ใช้คางคกถูบริเวณที่ตะขาบกัดจะช่วยดูดพิษออกได้,https://www.antifakenewscenter.com/news/activity/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1-%e0%b8%ad%e0%b8%a2%e0%b9%88%e0%b8%b2%e0%b9%81%e0%b8%8a%e0%b8%a3%e0%b9%8c-%e0%b9%83%e0%b8%8a%e0%b9%89%e0%b8%84%e0%b8%b2-2,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website_-39.jpg,   ข่าวปลอม,ผลิตภัณฑ์สุขภาพ
8,กสทช. กำหนดเบอร์ที่ขึ้นต้นด้วย +697 เป็นเบอร์ที่โทรจากต่างประเทศและเป็นมิจฉาชีพ จริงหรือ?,https://www.antifakenewscenter.com/news/activity/%e0%b8%81%e0%b8%aa%e0%b8%97%e0%b8%8a-%e0%b8%81%e0%b8%b3%e0%b8%ab%e0%b8%99%e0%b8%94%e0%b9%80%e0%b8%9a%e0%b8%ad%e0%b8%a3%e0%b9%8c%e0%b8%97%e0%b8%b5%e0%b9%88%e0%b8%82%e0%b8%b6%e0%b9%89%e0%b8%99%e0%b8%95%e0%b9%89%e0%b8%99%e0%b8%94%e0%b9%89%e0%b8%a7%e0%b8%a2-679-%e0%b9%80%e0%b8%9b%e0%b9%87%e0%b8%99%e0%b9%80%e0%b8%9a%e0%b8%ad%e0%b8%a3%e0%b9%8c%e0%b8%97%e0%b8%b5%e0%b9%88%e0%b9%82%e0%b8%97%e0%b8%a3%e0%b8%88%e0%b8%b2%e0%b8%81%e0%b8%95%e0%b9%88%e0%b8%b2%e0%b8%87%e0%b8%9b%e0%b8%a3%e0%b8%b0%e0%b9%80%e0%b8%97%e0%b8%a8%e0%b9%81%e0%b8%a5%e0%b8%b0%e0%b9%80%e0%b8%9b%e0%b9%87%e0%b8%99%e0%b8%a1%e0%b8%b4%e0%b8%88%e0%b8%89%e0%b8%b2%e0%b8%8a%e0%b8%b5%e0%b8%9e-%e0%b8%88%e0%b8%a3%e0%b8%b4%e0%b8%87%e0%b8%ab%e0%b8%a3%e0%b8%b7%e0%b8%ad,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/website-1-2.jpg,   ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร
9,ข่าวปลอม อย่าแชร์! ประเทศไทยขุดน้ำมันดิบได้มากกว่า 40% ของความต้องการใช้ แต่ต้องส่งออกเพราะไม่มีคลังเก็บน้ำมันที่กลั่นเกิน,https://www.antifakenewscenter.com/news/activity/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1-%e0%b8%ad%e0%b8%a2%e0%b9%88%e0%b8%b2%e0%b9%81%e0%b8%8a%e0%b8%a3%e0%b9%8c-%e0%b8%9b%e0%b8%a3%e0%b8%b0%e0%b9%80%e0%b8%97-6,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website-36.jpg,   ข่าวปลอม,เศรษฐกิจ
